input,output
"As the social media manager for 'home depot' (Twitter: @HomeDepot), create a tweet using the following keywords: ['light', 'unicorn', 'unicorn', 'baby', 'snow', 'light']. Craft a message that aligns with our brand and is likely to receive at least 424 likes.","Illuminate your lawn with whimsical holiday decor. The warm, welcoming glow will make sure your yard stands out all season long. <hyperlink> <hyperlink>"
"As the social media manager for 'cricket wireless' (Twitter: @Cricketnation), create a tweet using the following keywords: ['wwe', 'survivor', 'series']. Craft a message that aligns with our brand and is likely to receive at least 1730 likes.",#CricketNation and <mention> are teaming up to send you and a friend on a flyaway trip to #SurvivorSeries! Enter for a chance to win here: <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoCanada), create a tweet using the following keywords: ['man', 'hard', 'hat', 'yellow', 'vest', 'work', 'control', 'panel', 'work']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",What is IT/OT #convergence? We answer this and 4 more questions on our blog. <hyperlink> <hyperlink>
"As the social media manager for 'desjardins' (Twitter: @DesjardinsINS), create a tweet using the following keywords: ['car', 'cover', 'parking', 'garage', 'cover']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Storing your vehicle this year? Do so by logging on to My Account. It's simple, fast and secure! Learn more: <hyperlink> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['donald', 'trump', 'francois', 'hollande']. Craft a message that aligns with our brand and is likely to receive at least 520 likes.","Emmanuel Macron's spokesman accused Donald Trump of lacking ""common decency"" after the US President blasted his French counterpart in a series of tweets following his visit to Paris <hyperlink> <hyperlink>"
"As the social media manager for 'aaa' (Twitter: @AAASouthJersey), create a tweet using the following keywords: ['up', 'store', 'offer', 'discount', 'business', 'card', 'offer']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Use your #AAADiscounts <mention> to get 500 business cards for $9.99 when you purchase online at <hyperlink> thru 4/30/19. <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['police', 'officer', 'stand', 'line', 'group', 'people', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",White House Praises China’s Crackdown On Opioid Ring <hyperlink> <hyperlink>
"As the social media manager for 'monster' (Twitter: @LanceHoyt), create a tweet using the following keywords: ['man', 'stand', 'crowd', 'people', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 170 likes.",Man. <mention> is a freaking GIANT! Big guy just being BIG! <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['fbi', 'seal', 'see', 'wall', 'see']. Craft a message that aligns with our brand and is likely to receive at least 1331 likes.","The FBI has seen a significant rise in the number of white supremacist domestic terrorism cases in recent months, a senior counterterrorism official says
<hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoSP360), create a tweet using the following keywords: ['view', 'city', 'skyline', 'building']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Did you know <mention> was the first to deploy <mention>'s cloud-native router? The router will be made available for everyone at a later date. For more on the deployment: <hyperlink> <hyperlink>
"As the social media manager for 'free' (Twitter: @fpjindia), create a tweet using the following keywords: ['prabhas', 'director', 'press', 'meet']. Craft a message that aligns with our brand and is likely to receive at least 54 likes.","#BhushanKumar joins hands with Superstar #Prabhas for his upcoming project

#Saaho #Baahubali <mention> 

<hyperlink> <hyperlink>"
"As the social media manager for 'getty images' (Twitter: @GettyImages), create a tweet using the following keywords: ['sloth', 'bucket']. Craft a message that aligns with our brand and is likely to receive at least 135 likes.",Sloths are wonderfully strange creatures with a particularly strange trait: They always seem to be smiling <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @CNNPolitics), create a tweet using the following keywords: ['president', 'obama', 'speak', 'campaign', 'event', 'new', 'york', 'speak']. Craft a message that aligns with our brand and is likely to receive at least 1103 likes.","JUST IN: Former President Barack Obama weighs in on the death of George Floyd:

""This shouldn't be 'normal' in 2020 America"" <hyperlink> <hyperlink>"
"As the social media manager for 'bar' (Twitter: @Pluckers), create a tweet using the following keywords: ['button', 'word', 'pickle', 'strawberry', 'lemonade']. Craft a message that aligns with our brand and is likely to receive at least 397 likes.",who loves strawberry lemonade <hyperlink>
"As the social media manager for 'bar' (Twitter: @thefrontbar7), create a tweet using the following keywords: ['man', 'sit', 'table', 'large', 'box', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 206 likes.","Happy Grand Final week! What a year... 🍻

#TheFrontBar <hyperlink>"
"As the social media manager for 'aaa' (Twitter: @AAASouthPenn), create a tweet using the following keywords: ['aaa', 'app', 'track', 'tow', 'truck', 'get', 'track']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Before you head out on that #roadtrip, download the AAA Mobile app for maps, gas prices, discounts &amp; more. <hyperlink> <hyperlink>"
"As the social media manager for 'amc' (Twitter: @AMCTheatres), create a tweet using the following keywords: ['oscar', 'nominate', 'short', 'film', 'nominate']. Craft a message that aligns with our brand and is likely to receive at least 12 likes.","Get the upper hand on your #Oscar poll! We're playing the 2019 Nominated #OscarShorts at #AMCTheatres in all three categories - #Animated, #LiveAction and #Documentary. Get tix at a location near you: <hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @ciscomiddleeast), create a tweet using the following keywords: ['secure', 'website', 'day', 'free', 'trial', 'secure']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","30 seconds. That’s all it takes to stop threats like #ransomware or malicious #cryptomining on its tracks and keep your users secure on the Internet, wherever they may be. Try Cisco Umbrella now.
<hyperlink> <hyperlink>"
"As the social media manager for 'wells fargo' (Twitter: @WellsFargoCtr), create a tweet using the following keywords: ['hot', 'dog', 'lot', 'topping']. Craft a message that aligns with our brand and is likely to receive at least 74 likes.","Introducing... 
THE PLAYOFF HOT DOG for all home <mention> &amp; <mention> playoff games 😳 the 'Hot streak Delco dog' is available at all Fan Favorite Stands, is made w/ house chili, crumbled bacon, topped w/ American cheese sauce &amp; served on a pretzel bun #PhilaUnite #EarnTomorrow <hyperlink>"
"As the social media manager for 'hobby lobby' (Twitter: @HobbyLobby), create a tweet using the following keywords: ['person', 'hold', 'sign', 'say', 'instant', 'snow', 'jumbo', 'flake', 'hold', 'say']. Craft a message that aligns with our brand and is likely to receive at least 10 likes.","🚨 80% Off Remaining Christmas Items🚨 <hyperlink>
*Selection will vary by store. See weekly ad for details. <hyperlink>"
"As the social media manager for 'aaa' (Twitter: @AAASouthJersey), create a tweet using the following keywords: ['shar', 'pei', 'puppy', 'sit', 'black', 'background', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Is #NationalPuppyDay Friday or Saturday? Who knows? Let's celebrate both days! 

Every dog has its day, so take AAA Auto Insurance along for the ride. <hyperlink> <hyperlink>"
"As the social media manager for 'free' (Twitter: @hkfp), create a tweet using the following keywords: ['hong', 'kong', 'free', 'press', 'reporter', 'hong', 'kong', 'free', 'press', 'reporter', 'hong', 'kong', 'free', 'press']. Craft a message that aligns with our brand and is likely to receive at least 1229 likes.","[Recap] Hong Kong District Council election: Pro-democracy candidate complains problematic ballots were accepted as valid

<hyperlink> #HongKong #China #antielab #antiELABhk #HongKongProtests <hyperlink>"
"As the social media manager for 'microsoft' (Twitter: @MicrosoftTeams), create a tweet using the following keywords: ['screen', 'shot', 'calendar', 'view', 'microsoft', 'office']. Craft a message that aligns with our brand and is likely to receive at least 232 likes.","Firstline managers using #MicrosoftTeams will be able to use the Shifts feature to plan schedules, review and accept time off requests, and distribute schedules for teams. #MSIgnite <hyperlink> <hyperlink>"
"As the social media manager for 'cameron' (Twitter: @candacecbure), create a tweet using the following keywords: ['woman', 'kitchen']. Craft a message that aligns with our brand and is likely to receive at least 176 likes.","Officially flipping out over this 🤸🏼‍♂️ (pancake pun intended)😉
I’ll be on <mention> this Sunday, September 22nd premiering my cookware line CookCraft by Candace for the first time!!
Tune-in because we have an EXCLUSIVE set only available at QVC 🙌🏼
<mention> #CookCraftbyCandace <hyperlink>"
"As the social media manager for 'microsoft' (Twitter: @Microsoft), create a tweet using the following keywords: ['diagram', 'show', 'different', 'type', 'device', 'require', 'security', 'certificate', 'show', 'require']. Craft a message that aligns with our brand and is likely to receive at least 214 likes.","There are seven properties required for secure, connected #IoT devices. Learn more about how #AzureSphere is keeping edge devices safe: <hyperlink> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['reach', 'car', 'insurance', 'card', 'holder', 'reach']. Craft a message that aligns with our brand and is likely to receive at least 782 likes.","This woman is trying to protect black motorists during traffic stops with one small invention: the Not Reaching pouch, a simple clear container that can affix to a car dashboard and holds a driver's important documentation <hyperlink> <hyperlink>"
"As the social media manager for 'free' (Twitter: @BornFreeFDN), create a tweet using the following keywords: ['lion', 'rest', 'wagon', 'house', 'rest']. Craft a message that aligns with our brand and is likely to receive at least 236 likes.",Take some time out with the second episode of our Story of Christian series. Christian the lion starts his preparations for Africa by leaving London  to live in the Surrey hills with Virginia McKenna and Bill Travers: <hyperlink> #KeepWildlifeInTheWild <hyperlink>
"As the social media manager for 'lenovo' (Twitter: @Lenovo), create a tweet using the following keywords: ['lenovo', 'unveil', 'new', 'vegas', 'gaming', 'laptop', 'unveil']. Craft a message that aligns with our brand and is likely to receive at least 72 likes.","Join us here beginning January 8 for live coverage from #CES2019, the world’s largest consumer electronics show. #LenovoCES <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoSecure), create a tweet using the following keywords: ['ibm', 'cisco', 'logo', 'blue', 'background']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Join us this Demo Friday and see IBM and Cisco security working together. Our integrated security protection breaks down barriers and simplifies threat defense. See Cisco Security apps integrated with IBM QRadar SIEM &amp; IBM Resilient. Register now: <hyperlink> <hyperlink>
"As the social media manager for 'red bull' (Twitter: @redbullracing), create a tweet using the following keywords: ['man', 'work', 'red', 'bull', 'car', 'work']. Craft a message that aligns with our brand and is likely to receive at least 2340 likes.",On what would have been race day in Australia the Team have made it back to base. 👊 While racing is what we do best it's important to put everyone's health and safety first at this time. ♥ #F1 <hyperlink>
"As the social media manager for 'amway' (Twitter: @Amway), create a tweet using the following keywords: ['group', 'woman', 'pose', 'photo', 'wall', 'pose']. Craft a message that aligns with our brand and is likely to receive at least 223 likes.","Happy International Women's Day 👭

You are leaders, entrepreneurs, artists, mothers, mentors, glass-ceiling breakers, WORLD CHANGERS 💥.

Thank you for inspiring us, and for empowering others to stand up for what they believe in and what they want in life. #iwd2019 <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['pie', 'chart', 'show', 'percentage', 'state', 'show']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","FAAC: FG, States, LGAs Share N693.529bn For September <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['ncdc', 'commence', 'vaccination', 'child', 'polio', 'commence']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Shippers’ Council, NCDC Partner On COVID-19 Sensitisation <hyperlink> <hyperlink>"
"As the social media manager for 'toyota' (Twitter: @TGR_WEC), create a tweet using the following keywords: ['rolex', 'monza', 'team', 'photo']. Craft a message that aligns with our brand and is likely to receive at least 322 likes.","The #LeMans24 class of 2019! 👋 🇫🇷 👩‍🎓👨‍🎓

#Toyota #TS050 #PushingTheLimitsForBetter <hyperlink>"
"As the social media manager for 'hobby lobby' (Twitter: @HobbyLobby), create a tweet using the following keywords: ['grinley', 'grinley', 'christmas', 'wall', 'art']. Craft a message that aligns with our brand and is likely to receive at least 5 likes.","""Maybe Christmas, perhaps...means a little bit more!"" #Grinch <hyperlink> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['drawing', 'man', 'costume', 'stand', 'group', 'people', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 809 likes.","Across the US, more cities are ditching Columbus Day to honor the people who were there first -- and who suffered greatly after Columbus' arrival <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['law', 'justice', 'illustration']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","N34bn Court Acquittal: Otuaro, Peresine Congratulate Tompolo, Commend Judiciary <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['nigerian', 'police', 'arrest', 'man', 'allegedly', 'kill', 'wife', 'kill']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Enugu Police Arrest 6 Suspects For Armed Robbery, Kidnapping, Recover Arms <hyperlink> <hyperlink>"
"As the social media manager for 'bar' (Twitter: @Pluckers), create a tweet using the following keywords: ['piece', 'chicken', 'wing', 'white', 'background']. Craft a message that aligns with our brand and is likely to receive at least 175 likes.","Win a $200 Gift Card! 
Take our famous Pluckers Drum and show us your best photoshop scene! We'll draw a random $50 gift card winner from the submissions, and our favorite photo gets a $200 gift card! Use the hashtag #famousDrum to enter by January 12th! <hyperlink>"
"As the social media manager for 'opel' (Twitter: @OpelIreland), create a tweet using the following keywords: ['new', 'toyota', 'yaris', 'hatchback', 'show', 'photo', 'show']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Expect nothing but the very best. Voted AutoBest’s Best Buy Car of Europe 2020. The #OpelCorsa’s assertive styling and future-ready technologies have made it the top choice for leading automotive journalists. <hyperlink>
"As the social media manager for 'shoprite' (Twitter: @ShopRiteStores), create a tweet using the following keywords: ['variety', 'fruit', 'nut', 'bowl']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Locally Owned. Locally Grown. ShopRite is your destination for local produce!

6 ingredients and <mention> Blackberries are all you need to create this flavorful smoothie bowl &gt;&gt; <hyperlink> #WeAreLocal <hyperlink>"
"As the social media manager for 'opel' (Twitter: @OpelIreland), create a tweet using the following keywords: ['group', 'classic', 'car', 'park', 'building', 'park']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",The more the merrier! 80 years ago we saw the birth of an early #Opel flagship. Now look at all these beautiful models gathered to celebrate its anniversary. Happy Birthday #OpelKapitän! #tbt <hyperlink>
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['woman', 'hold', 'blue', 'shopping', 'basket', 'grocery', 'store', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 616 likes.",Almost half of US families can't afford basics like rent and food <hyperlink> <hyperlink>
"As the social media manager for 'toyota' (Twitter: @Toyota_Aus), create a tweet using the following keywords: ['man', 'shake', 'hand', 'event', 'shake']. Craft a message that aligns with our brand and is likely to receive at least 12 likes.","We are thrilled to announce the extension of our sponsorship with the AFL, taking our longstanding partnership to 20 years! For the first time under the new four-year deal, we will be the official automotive partner of the AFLW. Read more here: <hyperlink> <hyperlink>"
"As the social media manager for 'tim hortons' (Twitter: @TimHortonsPH), create a tweet using the following keywords: ['tim', 'horton', 'open', 'taguig', 'city']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.","Our Uptown Mall, Market! Market! and Festival Mall branches will be open starting tomorrow, May 20, 2020.

Share your love with our modern-day heroes by ordering your favorites to support our COVID19 efforts. #TimsCaresPH 🙌 <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['buhari', 'anti', 'corruption', 'war', 'sham', 'say', 'ex', 'nigerian', 'gov', 'say']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Buhari, WHO DG, Presidents Magafuli, Kagame Honoured As Africa Great Leaders <hyperlink> <hyperlink>"
"As the social media manager for 'bar' (Twitter: @Pluckers), create a tweet using the following keywords: ['man', 'red', 'shirt', 'hold', 'cell', 'phone', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 164 likes.",snappin pics of my thicc tender bois <hyperlink>
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['prince', 'harry', 'elton', 'john', 'royal', 'foundation', 'event']. Craft a message that aligns with our brand and is likely to receive at least 985 likes.","""Nobody needs to die of AIDS anymore,"" Elton John says.

He took to the stage with Prince Harry at a conference in Amsterdam and launched a $1.2B partnership called the MenStar Coalition that will work to boost HIV diagnosis and treatment among young men. <hyperlink> <hyperlink>"
"As the social media manager for 'astro' (Twitter: @ASTROGaming), create a tweet using the following keywords: ['logo', 'canadian', 'flag', 'letter', 'n']. Craft a message that aligns with our brand and is likely to receive at least 163 likes.","Happy #CanadaDay! #ASTROfamily 

<hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'red', 'white', 'dress', 'give', 'speech', 'give']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",COVID-19: Enugu State Confirms 5 New Cases <hyperlink> <hyperlink>
"As the social media manager for 'fc barcelona' (Twitter: @FCBarcelona), create a tweet using the following keywords: ['man', 'blue', 'yellow', 'uniform', 'kick', 'soccer', 'ball', 'kick']. Craft a message that aligns with our brand and is likely to receive at least 18464 likes.",🇺🇸 Unforgettable day for <mention> <hyperlink>
"As the social media manager for 'williams' (Twitter: @SonnyBWilliams), create a tweet using the following keywords: ['rugby', 'player', 'blue', 'jersey', 'hold', 'ball', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 1466 likes.","Really enjoyed the off season with my girls, but now it’s back to work with my <mention> brothers #Gameday #Allin <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'stand', 'stage', 'woman', 'hold', 'award', 'stand', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Conference Bridges Gap Between Govt, Artisans/Technicians –Bello <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['person', 'wash', 'hand', 'soap', 'water', 'wash']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","COVID 19: Pray, Comply With All Safety Rules – CAN Tells Members <hyperlink> <hyperlink>"
"As the social media manager for 'free' (Twitter: @hkfp), create a tweet using the following keywords: ['hong', 'kong', 'hkpf', 'appeal', 'hkpf', 'decision', 'cancel', 'appeal', 'cancel']. Craft a message that aligns with our brand and is likely to receive at least 105 likes.","Hong Kong security plan alarms UK, Australia, Canada 

<hyperlink> <hyperlink>"
"As the social media manager for 'alcoa' (Twitter: @alcoatheband), create a tweet using the following keywords: ['dog', 'sleep', 'person', 'lap', 'sleep']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",Tfw your mom has hit her due date and there’s still no baby brother <hyperlink>
"As the social media manager for 'ericsson' (Twitter: @Ericsson_Marcus), create a tweet using the following keywords: ['red', 'race', 'car', 'drive', 'track', 'drive']. Craft a message that aligns with our brand and is likely to receive at least 568 likes.",P9 at the 🏁 today <mention> . Not a perfect race but another solid top 10 result. And still P6 in the championship. Lining up in P9 tomorrow for race 2. Big push 👊🏻👊🏻 #ME8 #INDYCAR <mention> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['woman', 'long', 'black', 'hair', 'earring']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Youths Should Not Be Afraid To Become Entrepreneurs –Titus <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @cisco_in), create a tweet using the following keywords: ['cisco', 'oqa', 'drive', 'economic', 'growth', 'digitalization', 'drive']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","CDA will strengthen the fast-evolving #DigitalTransformation in India by creating digital experience centres for leading business organizations, so they’re prepared to respond to the unique challenges of the digital business era. Read more: <hyperlink> #DigitalIndia <hyperlink>"
"As the social media manager for 'asus' (Twitter: @ASUSph), create a tweet using the following keywords: ['asus', 'laptop']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",#TBT Remember the time when you wanted to move your PC but you can only carry your laptop? Now you can even carry an extra monitor! Share us a photo of your display extension at the comment section. #ASUS #PortableMonitor <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoSP360), create a tweet using the following keywords: ['cisco', 'platform', 'approach', 'security']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",World-class technology needs world-class security. Learn about our advanced security solutions at this #CLEUR session. <hyperlink> <hyperlink>
"As the social media manager for 'emerson' (Twitter: @EMR_Automation), create a tweet using the following keywords: ['industrial', 'transformation', 'asia', 'pacific', 'tpi']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Embark on a ""Learning Journey"" that can help take your company to new heights! Jump-start your transformation with Emerson at #ITAP2019 happening today. Check out our presentations by the hour at Hall 2, Booth D-18 and D-22. <hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoCollab), create a tweet using the following keywords: ['woman', 'wear', 'headphone', 'desk', 'computer', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","How <mention> provides quicker, more agile #CustServ with an updated #cctr #UC platform. <hyperlink> #NRF18 #retail <hyperlink>"
"As the social media manager for 'american family insurance' (Twitter: @amfam), create a tweet using the following keywords: ['deer', 'road']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",It’s that time of year — deer season! Check out our top tips to avoiding deer accidents. <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoSoftware), create a tweet using the following keywords: ['enterprise', 'agreement', 'wireless', 'switch', 'wall', 'uc', 'connect', 'center', 'switch']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Maximize the value of your software suites with #EnterpriseAgreement. Join our talk session at #CLEUR #TrueForward <hyperlink> <hyperlink>
"As the social media manager for 'free' (Twitter: @hkfp), create a tweet using the following keywords: ['man', 'stand', 'street', 'sign', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 81 likes.","The deployment of the Chinese army to clear roadblocks in Kowloon Tong came unexpectedly to most journalists - with the Saturday afternoon operation having been led by pro-Beijing activists and civilians, and police presence at a minimum.

Photo: HKFP. #hongkong <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['ruth', 'bader', 'ginsburg', 'woman', 'serve', 'supreme', 'court', 'die', 'ruth', 'serve', 'die']. Craft a message that aligns with our brand and is likely to receive at least 7174 likes.","Today, Ruth Bader Ginsburg marks the 25th anniversary of her judicial oath on the US Supreme Court <hyperlink> <hyperlink>"
"As the social media manager for 'united airlines' (Twitter: @UnitedPilots), create a tweet using the following keywords: ['action', 'logo']. Craft a message that aligns with our brand and is likely to receive at least 35 likes.",The current House-passed FAA reauthorization bill includes a provision to take pilots out of the cockpit and develop a program of single-piloted commercial operations. Protect the safety of our skies by participating in ALPA's new Call to Action! <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @ciscoapac), create a tweet using the following keywords: ['flat', 'illustration', 'tractor', 'blue', 'background']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",What can tractors and cars teach us about traditional #network vs intent-based network? <mention> #CiscoDNA #automation #cisco <hyperlink> <hyperlink>
"As the social media manager for 'aaa' (Twitter: @AAAhoosier), create a tweet using the following keywords: ['traveler', 'wear', 'mask', 'face', 'covering', 'wait', 'flight', 'airport', 'wear', 'wait']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","For those who make the personal decision to travel this holiday season, it is important to be informed and take precautions. Know the risks involved and learn more here: <hyperlink> #travelforecast <hyperlink>"
"As the social media manager for 'asus' (Twitter: @ASUSUSA), create a tweet using the following keywords: ['amazon', 'prime', 'day', 'deal', 'deal']. Craft a message that aligns with our brand and is likely to receive at least 14 likes.",Save big on gadgets and don't miss out on these noteworthy tech deals going on right now - including our very own VivoBook E203NA - <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'woman', 'piercing', 'take', 'selfie', 'take']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Amanda Bynes Reveals Fiancé’s Identity After Showing Off Engagement Ring <hyperlink> <hyperlink>
"As the social media manager for 'oracle' (Twitter: @redbullracing), create a tweet using the following keywords: ['max', 'verstappen', 'red', 'bull', 'racing']. Craft a message that aligns with our brand and is likely to receive at least 845 likes.",Max is into the pits 👊 The boys get him back out in P3 on medium tyres 🇦🇹 #AustrianGP 🤘 #ChargeOn <hyperlink>
"As the social media manager for 'free' (Twitter: @ArlanWasHere), create a tweet using the following keywords: ['woman', 'stand', 'purple', 'background', 'word', 'dial', 'stand', 'move']. Craft a message that aligns with our brand and is likely to receive at least 143 likes.",I’m in Toronto today speaking at #movethedialSummit along with <mention> headliners <mention> and <mention>👊🏾 Watch throughout the day via livestream: <hyperlink> <hyperlink>
"As the social media manager for 'pfizer' (Twitter: @Pfizer_UK), create a tweet using the following keywords: ['people', 'wear', 't', 'shirt', 'word', 'stop', 'volunteer', 'wear', 'stop']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","#DYK we offer colleagues five days of paid leave to support a charity, organisation or cause close to their heart. Find out more: <hyperlink> #volunteering <hyperlink>"
"As the social media manager for 'eaton' (Twitter: @MerEaton), create a tweet using the following keywords: ['man', 'woman']. Craft a message that aligns with our brand and is likely to receive at least 628 likes.",Happy Anniversary to the man who makes my heart flutter every single day. I love you doesn’t even cover half of it! <hyperlink>
"As the social media manager for 'williams' (Twitter: @Robwilliams71), create a tweet using the following keywords: ['daredevil', 'vol', 'issue', 'frank', 'miller']. Craft a message that aligns with our brand and is likely to receive at least 129 likes.",Somehow had never read or owned this. <hyperlink>
"As the social media manager for 'aaa' (Twitter: @AAASouthPenn), create a tweet using the following keywords: ['man', 'wash', 'car', 'hose', 'wash']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Warmer weather means more time on the road. Now is a great time to give your car a good wash! #SpringCarCare <hyperlink>
"As the social media manager for 'tommy hilfiger' (Twitter: @TommyHilfiger), create a tweet using the following keywords: ['woman', 'floral', 'suit', 'high', 'heel']. Craft a message that aligns with our brand and is likely to receive at least 1987 likes.",.<mention> celebrates summer in style wearing our #TommyXZendaya zodiac printed swimsuit for the <mention> June issue. <hyperlink> <hyperlink>
"As the social media manager for 'sabc' (Twitter: @METROFMSA), create a tweet using the following keywords: ['young', 'boy', 'black', 'white', 'design', 'face']. Craft a message that aligns with our brand and is likely to receive at least 135 likes.",#TheDriveOnMetro #SingAlong <mention> - Roll Up <hyperlink>
"As the social media manager for 'cameron' (Twitter: @CameronNewton), create a tweet using the following keywords: ['collage', 'picture', 'show', 'people', 'play', 'football', 'show', 'play']. Craft a message that aligns with our brand and is likely to receive at least 839 likes.","COME 1 COME ALL, it’s time for K1CKBALL! My Celebrity Kickball Tournament is Fri June 1 in CLT. Doors open 11:30am. <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'glass', 'sit', 'desk', 'paper', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Akeredolu Mourns Abba Kyari, Says He’ll Be Missed <hyperlink> <hyperlink>"
"As the social media manager for 'petsmart' (Twitter: @PetSmartChariTs), create a tweet using the following keywords: ['woman', 'kiss', 'dog', 'stand', 'truck', 'kiss', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 16 likes.","The <mention> Animal Health Institute is a recipient of a PetSmart Charities grant, funded by your donations. Watch our full commercial &amp; learn about the impact your donations have made here: <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['vaccine', 'india', 'available']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",COVID-19: NOA Counsels Akwa Ibom Residents On Community Transmission <hyperlink> <hyperlink>
